customer_id,age,country_risk,monthly_txn_count,monthly_txn_volume,unusual_txn_flag,product_risk_score,pep_flag,adverse_media_flag,high_risk_jurisdiction,risk_score,risk_class
1,69,Low,23,2273.6,0,1,0,0,0,0.02789418803411978,Low
2,32,Low,25,1570.8,0,1,0,0,0,0.04382539900567397,Low
3,78,Low,15,539.06,0,1,0,0,0,0.052781097398495305,Low
4,38,Low,14,1977.78,0,1,0,0,0,0.22444051512941757,Medium
5,41,Medium,20,1026.26,0,2,0,0,0,0.0,Low
6,20,Medium,23,1777.29,0,1,0,0,0,0.0656635305640392,Low
7,39,Low,23,1162.93,0,3,0,0,0,0.220830399289374,Medium
8,70,Low,17,2650.02,0,1,0,0,0,0.0,Low
9,19,Low,25,330.98,0,1,0,0,0,0.0,Low
10,47,Low,17,722.62,0,3,0,1,0,0.21831091905806482,Medium
11,55,Low,24,1316.14,0,1,0,0,0,0.0,Low
12,19,Medium,18,947.63,0,2,0,0,0,0.0,Low
13,81,Low,20,392.9,0,1,0,0,0,0.0,Low
14,77,Low,16,2476.83,0,1,0,0,0,0.0,Low
15,38,Low,15,804.51,0,1,0,0,0,0.1401381003138635,Low
16,50,Low,28,1662.48,0,2,0,0,0,0.0,Low
17,75,Low,26,1244.75,0,1,0,0,0,0.3368209581472201,Medium
18,39,Low,22,1472.27,0,1,0,0,0,0.0,Low
19,66,Low,24,311.03,0,3,0,0,0,0.3009528147382459,Medium
20,76,Low,15,829.9,0,1,0,0,0,0.04387542957068383,Low
21,59,Low,24,1497.8,0,1,0,0,0,0.002781587075754695,Low
22,77,High,19,1654.76,0,3,0,1,1,0.43489986615875165,Medium
23,32,Low,18,1556.51,0,1,0,0,0,0.0,Low
24,79,Low,20,471.63,0,1,0,1,0,0.3887950538904496,Medium
25,79,Low,13,182.23,0,2,0,0,0,0.0,Low
26,64,Low,20,275.59,0,1,0,0,0,0.0,Low
27,79,Low,16,861.82,0,1,0,0,0,0.0,Low
28,68,Medium,20,926.89,0,1,0,0,0,0.17565563714294527,Low
29,72,Low,28,859.07,0,2,0,0,0,0.10211049495370883,Low
30,81,Low,19,319.49,0,1,0,0,0,0.0,Low
31,20,Low,24,554.06,0,1,0,1,0,0.1292573087647203,Low
32,68,Low,14,2461.46,0,1,0,0,0,0.01947486059139644,Low
33,24,Medium,21,1113.55,0,1,0,0,0,0.152951190410847,Low
34,38,Medium,23,817.83,0,1,0,0,0,0.0,Low
35,56,Low,14,2424.9,0,1,0,0,0,0.019980335792504196,Low
36,35,Medium,16,2795.62,0,1,0,0,0,0.0,Low
37,21,Low,21,601.39,0,1,0,0,0,0.0,Low
38,77,High,18,1119.46,0,1,0,0,1,0.2655267321671054,Medium
39,31,Low,22,221.84,0,1,0,0,0,0.03147363416193771,Low
40,26,High,22,165.86,0,1,0,0,1,0.2826329717351128,Medium
41,70,Medium,20,719.1,0,1,0,0,0,0.014322345681927652,Low
42,19,Low,20,301.66,0,1,0,0,0,0.23437466153265818,Medium
43,77,Low,24,554.75,0,1,0,0,0,0.15655829379733865,Low
44,61,High,19,1042.01,0,1,0,0,1,0.6084714090385336,High
45,25,Medium,14,2105.7,0,1,0,0,0,0.04746320912543953,Low
46,64,Low,26,1141.46,0,3,0,0,0,0.16992555248401864,Low
47,52,Low,23,606.54,0,1,0,1,0,0.0,Low
48,53,Low,17,2900.04,0,1,0,0,0,0.0,Low
49,67,Low,14,909.81,0,2,0,0,0,0.0,Low
50,21,Low,25,1668.81,0,1,0,0,0,0.0,Low
51,19,Low,21,1767.52,0,2,0,0,0,0.15718706979447342,Low
52,23,Medium,11,812.84,0,3,0,0,0,0.0,Low
53,71,Low,26,58.85,0,1,1,0,0,0.09648851564896571,Low
54,21,Medium,12,500.61,0,2,0,0,0,0.0,Low
55,71,Low,18,520.85,0,1,0,0,0,0.020548656060768115,Low
56,80,Low,25,834.7,0,1,0,0,0,0.13125732374191262,Low
57,35,Low,28,702.29,0,1,0,0,0,0.0,Low
58,61,Low,23,732.51,0,1,0,0,0,0.0,Low
59,51,Low,19,874.79,0,1,0,0,0,0.13307990303409023,Low
60,79,Low,27,999.45,0,1,0,0,0,0.0,Low
61,31,Low,17,176.56,0,2,0,0,0,0.01840025377558237,Low
62,65,Low,17,987.04,0,1,0,0,0,0.08549399513286515,Low
63,32,Low,21,1387.97,0,1,0,0,0,0.0,Low
64,79,Low,11,2926.75,0,1,0,0,0,0.1291014758117136,Low
65,57,Medium,23,961.15,0,1,0,0,0,0.0,Low
66,70,Medium,19,1598.31,0,1,0,0,0,0.23435316306253928,Medium
67,41,Low,18,1301.89,0,2,0,0,0,0.0,Low
68,43,Low,11,451.62,0,1,0,0,0,0.0,Low
69,77,Low,26,1006.98,0,1,0,0,0,0.0,Low
70,58,High,15,2286.32,0,1,0,0,1,0.23198605823547705,Medium
71,46,Low,23,2207.84,0,1,0,0,0,0.0,Low
72,32,Low,23,2205.82,0,1,0,0,0,0.0,Low
73,62,Low,23,4438.34,0,1,0,0,0,0.0,Low
74,82,Low,25,1375.19,0,1,0,0,0,0.00658008697401241,Low
75,26,Low,14,617.72,0,1,0,0,0,0.09017147541447179,Low
76,18,Medium,28,1397.8,0,2,0,0,0,0.0419357990509959,Low
77,25,Low,25,397.03,0,2,0,0,0,0.0,Low
78,80,Low,15,1235.95,0,1,0,0,0,0.0,Low
79,28,Low,18,377.07,0,2,0,0,0,0.17056383577350234,Low
80,25,Low,13,496.42,0,2,0,0,0,0.0,Low
81,52,Medium,19,156.95,0,1,0,1,0,0.18184236830619108,Low
82,52,Low,14,1172.04,0,1,0,0,0,0.0,Low
83,50,Medium,17,2129.8,0,1,0,0,0,0.19581070717727947,Low
84,22,Low,21,964.88,0,1,0,0,0,0.0,Low
85,58,Low,20,874.79,0,1,0,0,0,0.10316598286216641,Low
86,45,High,25,529.0,0,1,0,0,1,0.29133951850865375,Medium
87,24,Low,16,1709.22,0,1,0,0,0,0.0,Low
88,29,Medium,17,1906.68,0,1,0,0,0,0.07064537439126119,Low
89,51,Low,20,233.58,0,1,0,0,0,0.0,Low
90,50,Medium,26,1029.88,0,1,0,0,0,0.0,Low
91,65,Low,29,1666.62,0,1,0,1,0,0.4798828738251553,Medium
92,40,Low,17,613.02,0,1,0,0,0,0.469460071596637,Medium
93,79,Medium,18,197.81,0,1,0,0,0,0.0030173487691476262,Low
94,54,Medium,20,359.9,0,2,0,0,0,0.0,Low
95,61,Medium,20,2364.56,0,1,0,0,0,0.0038876297372959327,Low
96,52,Medium,18,1860.87,0,1,0,0,0,0.0,Low
97,82,Medium,15,2024.42,0,1,0,0,0,0.0,Low
98,64,Low,23,275.89,0,1,0,0,0,0.2403582746701333,Medium
99,20,Low,22,1655.54,0,1,0,0,0,0.031419863326921885,Low
100,18,Low,21,2467.23,0,1,0,0,0,0.0,Low
101,22,Low,20,500.19,0,1,0,0,0,0.06096530972293851,Low
102,31,Low,20,754.53,0,1,0,0,0,0.0,Low
103,44,Low,23,1062.48,0,1,0,0,0,0.0,Low
104,26,Low,23,1193.75,0,1,0,0,0,0.11486344538428496,Low
105,32,Low,31,640.43,0,2,0,0,0,0.0,Low
106,59,Low,19,1788.48,0,1,0,0,0,0.23602387917265638,Medium
107,68,Low,20,1337.13,0,1,0,0,0,0.0,Low
108,80,Low,30,418.22,0,2,0,0,0,0.18412778680528097,Low
109,69,Medium,18,1708.52,0,2,0,0,0,0.24623570640259004,Medium
110,21,Low,26,797.65,0,1,0,0,0,0.023342113310800296,Low
111,40,Low,18,1378.17,0,1,0,0,0,0.0,Low
112,32,Low,19,450.69,0,1,0,0,0,0.0,Low
113,60,Low,20,473.58,0,1,0,0,0,0.0,Low
114,46,Low,14,181.48,0,1,0,1,0,0.0,Low
115,53,Low,19,1949.45,0,3,0,0,0,0.09610706932982653,Low
116,30,Low,18,1596.1,0,1,0,0,0,0.09084401547984099,Low
117,49,Low,15,1067.0,0,3,0,0,0,0.0,Low
118,76,Low,20,265.15,0,1,0,0,0,0.004492824015346736,Low
119,45,High,26,2172.53,0,2,0,0,1,0.3319082592900633,Medium
120,83,High,28,1359.47,0,1,0,0,1,0.21753687302047475,Medium
121,59,Low,20,639.89,0,1,0,1,0,0.004394824126001701,Low
122,62,Low,13,1142.34,0,2,0,0,0,0.0,Low
123,79,Low,15,781.24,0,1,0,0,0,0.0,Low
124,74,Low,27,1360.23,0,1,0,0,0,0.17332475486953788,Low
125,23,Medium,23,384.92,0,1,0,0,0,0.10027009340857,Low
126,45,Low,27,107.08,0,1,0,0,0,0.2310509743879114,Medium
127,45,Medium,22,1272.1,0,1,0,0,0,0.10352345577888349,Low
128,61,Low,22,1418.26,0,1,0,0,0,0.0,Low
129,47,High,27,181.0,0,2,0,0,1,0.17731687892621228,Low
130,79,Low,21,60.27,0,1,0,0,0,0.0,Low
131,79,Medium,28,1075.79,0,1,0,0,0,0.0,Low
132,18,Low,16,1304.16,0,1,0,0,0,0.0,Low
133,44,Low,24,756.64,0,2,0,0,0,0.1038012768912269,Low
134,79,Low,16,408.78,0,1,0,0,0,0.17677549439996285,Low
135,20,Low,25,2938.84,0,1,0,0,0,0.0,Low
136,44,Medium,27,1221.52,0,1,0,0,0,0.0,Low
137,26,Medium,20,1932.1,0,1,0,0,0,0.2466591171000725,Medium
138,79,Medium,19,327.03,0,1,0,1,0,0.23471394347520358,Medium
139,54,Low,20,2130.21,0,1,0,0,0,0.0,Low
140,68,Medium,17,1188.79,0,1,0,0,0,0.23723577747118338,Medium
141,61,Low,21,2746.56,0,1,0,0,0,0.18677929802134557,Low
142,41,Low,14,1378.13,0,2,0,0,0,0.0,Low
143,76,Low,22,953.1,0,1,0,0,0,0.13056653962603187,Low
144,49,Low,20,832.64,0,1,0,0,0,0.17284500036996311,Low
145,69,Low,22,515.05,0,1,0,0,0,0.1257834163068214,Low
146,79,Low,16,839.34,0,1,0,0,0,0.1902188930463486,Low
147,75,Low,21,1395.23,0,1,0,0,0,0.0,Low
148,69,Medium,22,1568.47,0,1,0,0,0,0.003916687571645964,Low
149,29,Low,23,449.01,0,1,0,0,0,0.24682148064790138,Medium
150,56,Low,24,235.3,0,1,0,0,0,0.0,Low
151,19,Low,16,1117.73,0,1,0,1,0,0.10322984789962296,Low
152,20,Low,18,169.75,0,1,1,0,0,0.316657309422076,Medium
153,73,Low,25,853.02,0,1,0,1,0,0.0,Low
154,76,Low,21,269.76,0,1,0,0,0,0.04895577018712557,Low
155,19,Low,16,1524.33,0,2,0,0,0,0.0,Low
156,19,Low,23,637.33,0,1,0,0,0,0.19001451521672502,Low
157,71,Low,17,703.71,0,1,0,0,0,0.0,Low
158,18,Medium,17,220.18,0,2,0,0,0,0.12738437173490955,Low
159,36,Low,17,1805.65,0,2,0,1,0,0.09054381819872097,Low
160,19,Low,23,1031.38,0,1,0,0,0,0.0,Low
161,70,Medium,13,1058.96,0,1,0,0,0,0.003936213155024364,Low
162,61,Low,13,282.08,0,2,0,0,0,0.04489852776656358,Low
163,49,Low,13,152.14,0,2,0,0,0,0.01380632780141099,Low
164,49,Medium,26,446.23,0,2,0,0,0,0.050990002168977075,Low
165,72,Low,20,624.59,0,1,0,0,0,0.10365297309960735,Low
166,73,Low,21,434.8,0,1,0,0,0,0.0,Low
167,34,Low,22,2754.97,0,1,0,0,0,0.020284263752992998,Low
168,55,Low,9,1838.34,0,3,0,0,0,0.0,Low
169,41,Low,14,869.5,0,2,0,0,0,0.0,Low
170,28,Low,21,476.62,0,2,0,0,0,0.0,Low
171,33,Low,28,333.98,0,1,0,0,0,0.0,Low
172,76,Low,22,840.25,0,1,0,0,0,0.0,Low
173,20,Low,24,1083.67,0,1,0,0,0,0.0,Low
174,37,Low,26,597.91,0,2,0,0,0,0.060758281559278815,Low
175,76,Low,26,1199.06,0,1,0,0,0,0.2278137075209793,Medium
176,53,Low,17,560.58,0,3,0,0,0,0.23472169269623594,Medium
177,36,Low,24,330.29,0,1,0,0,0,0.0,Low
178,84,Medium,16,1201.19,0,1,0,0,0,0.0,Low
179,36,Low,21,145.79,0,3,0,0,0,0.11719453192752352,Low
180,37,Low,20,234.11,0,1,0,0,0,0.008500994719802974,Low
181,69,Low,27,385.69,0,1,0,0,0,0.0,Low
182,50,Low,19,524.47,0,2,0,0,0,0.0,Low
183,57,Medium,20,1398.37,0,1,0,0,0,0.018062535323781295,Low
184,56,Low,20,221.08,0,2,0,0,0,0.12976387980072981,Low
185,18,High,20,706.2,0,1,0,0,1,0.2841150777019638,Medium
186,28,Low,15,1093.42,0,2,0,0,0,0.0695657253302281,Low
187,74,Low,24,1027.31,0,1,0,0,0,0.023951719355586307,Low
188,67,Low,22,1398.8,0,1,0,0,0,0.0,Low
189,40,Medium,22,722.85,0,1,0,0,0,0.0,Low
190,48,Low,18,510.12,0,1,0,0,0,0.0,Low
191,59,Low,22,2030.03,0,1,0,0,0,0.1283777035533542,Low
192,24,Low,15,493.53,0,3,0,0,0,0.0,Low
193,33,Low,22,436.89,0,2,0,0,0,0.0,Low
194,77,Medium,23,409.78,0,3,0,0,0,0.13538595903674758,Low
195,19,Low,16,396.61,0,1,0,0,0,0.0,Low
196,18,Low,20,2352.99,0,1,0,0,0,0.0,Low
197,65,Medium,17,2614.76,0,1,0,0,0,0.027552876071673456,Low
198,29,Low,15,1519.56,0,3,0,0,0,0.2692949774961383,Medium
199,54,High,24,1235.26,0,1,0,0,1,0.5746132700871734,Medium
200,49,Low,14,437.63,0,1,0,0,0,0.09152446532720672,Low
201,26,Low,27,590.43,0,1,0,0,0,0.1491295379755735,Low
202,36,Medium,22,191.0,0,1,0,0,0,0.07745765303039144,Low
203,65,Low,20,710.71,0,3,0,0,0,0.034306382618633974,Low
204,20,Low,22,259.28,0,1,0,0,0,0.1371025980848867,Low
205,37,Low,32,974.09,0,3,0,0,0,0.052061807655367304,Low
206,41,Low,23,467.21,0,1,0,0,0,0.0,Low
207,71,Low,15,1035.33,0,2,0,0,0,0.027951155222455313,Low
208,50,Medium,20,402.52,0,1,0,0,0,0.04981425318883075,Low
209,41,Low,26,157.5,0,1,0,0,0,0.04595216823163713,Low
210,53,Low,24,346.56,0,1,0,0,0,0.0547494691133539,Low
211,55,High,24,1101.62,0,1,0,0,1,0.2519615717494147,Medium
212,42,Low,25,1153.79,0,1,0,0,0,0.0,Low
213,35,Low,21,1071.56,0,1,0,0,0,0.0,Low
214,83,Low,20,964.69,0,1,0,0,0,0.03940039652030021,Low
215,71,Medium,15,869.83,0,1,0,0,0,0.05162336713266061,Low
216,52,Low,23,1340.3,0,1,0,0,0,0.19771621959101363,Low
217,78,Medium,29,62.54,0,1,0,0,0,0.045049687987051446,Low
218,58,Medium,21,2280.52,0,2,0,0,0,0.0,Low
219,50,Low,26,695.36,0,3,0,0,0,0.0,Low
220,50,Low,22,1347.27,0,1,0,0,0,0.0968564798266928,Low
221,31,Medium,25,815.31,0,1,0,0,0,0.0,Low
222,38,Low,20,459.39,0,1,0,0,0,0.022990820977668382,Low
223,65,Medium,17,653.84,0,1,0,0,0,0.14304812663000488,Low
224,37,Medium,18,328.98,0,2,0,0,0,0.30372392973426676,Medium
225,25,Low,37,381.03,0,1,0,1,0,0.37333285199043176,Medium
226,24,Low,28,1192.63,0,1,0,0,0,0.0,Low
227,84,Medium,22,979.25,0,1,0,0,0,0.0,Low
228,34,Medium,18,138.87,0,2,0,0,0,0.09452873205790191,Low
229,50,Low,19,394.58,0,1,0,0,0,0.0,Low
230,65,Low,13,692.73,0,3,0,1,0,0.0,Low
231,76,Low,19,818.78,0,3,0,0,0,0.38884890629960756,Medium
232,39,Low,22,2876.09,0,1,0,0,0,0.025951794574213812,Low
233,47,Low,20,959.37,0,1,0,0,0,0.1873957574947085,Low
234,55,Low,17,115.99,0,1,0,0,0,0.0,Low
235,68,Low,26,851.85,0,1,0,0,0,0.0,Low
236,71,Low,27,265.86,0,1,0,0,0,0.02273180816865736,Low
237,25,Low,17,719.06,0,1,0,0,0,0.0,Low
238,44,Low,27,3050.83,0,1,0,0,0,0.0,Low
239,44,Low,27,560.95,0,1,0,0,0,0.3296290904921961,Medium
240,38,Low,30,1567.46,0,2,0,0,0,0.053243516864684225,Low
241,47,Low,23,844.62,0,3,0,0,0,0.0,Low
242,45,Low,20,2209.73,0,1,0,0,0,0.015255691190767147,Low
243,81,Low,23,1251.05,0,1,0,0,0,0.0,Low
244,78,Low,21,1709.06,0,1,0,0,0,0.0,Low
245,65,High,31,1091.97,0,2,1,0,1,0.7160208898416468,High
246,36,Low,16,554.67,0,3,0,0,0,0.08089035273172351,Low
247,21,High,19,2039.67,0,1,0,0,1,0.021523885881395477,Low
248,52,Low,20,1005.16,0,1,0,0,0,0.2573764351283008,Medium
249,81,Low,23,584.96,0,1,0,0,0,0.0,Low
250,66,Medium,13,459.52,0,1,0,0,0,0.0,Low
251,34,Low,15,1031.05,0,1,0,0,0,0.23002990208311494,Medium
252,61,Low,16,1808.09,0,1,0,0,0,0.25672317072787226,Medium
253,47,Low,18,1160.2,0,3,0,0,0,0.0,Low
254,63,Low,14,621.9,0,1,0,0,0,0.1594800230187109,Low
255,23,Low,14,1128.66,0,2,0,0,0,0.02380853753271624,Low
256,54,Low,27,1461.16,0,1,0,0,0,0.39817604793769873,Medium
257,41,Low,20,182.37,0,1,0,0,0,0.0,Low
258,63,Low,20,268.55,0,2,0,0,0,0.24745428350138926,Medium
259,70,High,21,1367.52,0,3,0,0,1,0.3122210543274448,Medium
260,77,Low,19,257.97,0,2,0,0,0,0.0,Low
261,80,Low,24,718.08,0,2,0,0,0,0.0,Low
262,49,Medium,13,910.22,0,2,0,0,0,0.0,Low
263,50,Low,25,352.43,0,1,0,0,0,0.0,Low
264,84,Low,21,741.07,0,2,0,0,0,0.0,Low
265,35,Low,18,920.2,0,2,0,0,0,0.0,Low
266,42,Low,20,1863.03,0,1,0,0,0,0.13746254668759136,Low
267,71,Low,15,1733.31,0,1,0,0,0,0.12327776197757714,Low
268,75,Medium,24,1027.88,0,2,0,0,0,0.0,Low
269,84,High,27,510.85,0,2,0,0,1,0.1394164504105022,Low
270,63,Low,26,1758.37,0,1,0,0,0,0.0,Low
271,41,Low,22,1799.32,0,2,0,0,0,0.0,Low
272,49,Low,20,451.25,0,2,0,0,0,0.0,Low
273,64,Low,20,963.06,0,1,0,0,0,0.0,Low
274,40,Medium,15,585.61,0,2,0,0,0,0.24330264345966185,Medium
275,83,Low,15,1053.93,0,1,0,0,0,0.0,Low
276,44,Low,34,423.08,0,1,0,0,0,0.0,Low
277,19,Medium,17,1449.93,0,1,0,0,0,0.0,Low
278,34,Low,21,1058.82,0,3,0,0,0,0.0,Low
279,50,Low,24,423.88,0,1,0,0,0,0.08955675420980937,Low
280,26,Low,16,1364.0,0,2,0,0,0,0.03683394892376421,Low
281,60,Medium,23,507.39,0,1,0,0,0,0.2780464041868914,Medium
282,65,Low,19,142.95,0,2,0,0,0,0.0,Low
283,56,Medium,15,346.44,0,2,0,0,0,0.2896456355634469,Medium
284,59,Low,21,1560.86,0,2,0,0,0,0.104685110936463,Low
285,43,Medium,18,2382.44,0,2,0,0,0,0.07957939272495501,Low
286,67,Medium,15,2421.37,0,2,0,0,0,0.0,Low
287,42,Low,22,533.62,0,1,0,0,0,0.0,Low
288,41,Low,27,717.49,0,1,0,0,0,0.0,Low
289,30,Low,17,595.05,0,1,0,1,0,0.2320347938343203,Medium
290,77,Low,19,823.85,0,2,0,0,0,0.11313575713910018,Low
291,24,Low,23,248.47,0,1,0,1,0,0.2801855482509845,Medium
292,74,Low,17,545.9,0,1,0,0,0,0.005668001429543243,Low
293,53,Low,19,965.49,0,2,0,0,0,0.1355035390966179,Low
294,62,Low,25,1566.26,0,2,1,0,0,0.47916648738706424,Medium
295,37,Low,16,1027.67,0,2,0,1,0,0.15375191924445245,Low
296,82,Low,20,692.44,0,1,0,0,0,0.08372795048277933,Low
297,25,Low,15,354.56,0,1,0,0,0,0.05760068196279999,Low
298,33,Medium,19,1630.47,0,1,0,0,0,0.12094877622732822,Low
299,31,Low,24,215.97,0,1,0,0,0,0.049138604501343296,Low
300,32,Low,21,264.27,0,1,0,0,0,0.03961190002601124,Low
301,83,High,24,1265.99,0,1,0,0,1,0.3093411817310859,Medium
302,49,Low,23,1390.4,0,1,0,0,0,0.030846025137654498,Low
303,80,Medium,17,57.43,0,1,0,0,0,0.0,Low
304,68,Low,20,697.13,0,1,0,0,0,0.0,Low
305,42,Low,16,116.62,0,1,0,0,0,0.04499844039541786,Low
306,75,Low,24,730.73,0,2,0,0,0,0.0,Low
307,80,Low,22,616.19,0,2,0,0,0,0.0,Low
308,79,Low,16,2055.25,0,2,0,0,0,0.0,Low
309,39,Low,16,1138.52,0,1,0,0,0,0.0,Low
310,75,Low,21,1165.04,0,3,0,0,0,0.2107991146531382,Medium
311,75,Low,20,1834.39,0,3,0,0,0,0.24574298166335667,Medium
312,66,Low,17,1880.45,0,1,0,0,0,0.0,Low
313,69,Low,8,924.13,0,1,0,0,0,0.14960152733717083,Low
314,59,Low,23,495.21,0,1,0,0,0,0.0,Low
315,32,Low,24,1508.09,0,2,0,0,0,0.0,Low
316,71,High,19,1457.14,0,1,0,0,1,0.39083582893302143,Medium
317,77,Low,23,1257.25,0,3,0,0,0,0.0,Low
318,25,Medium,14,921.15,0,1,0,0,0,0.05634570978710537,Low
319,70,Medium,18,725.18,0,3,0,0,0,0.04313030881658612,Low
320,77,Low,22,1884.17,0,2,0,0,0,0.0,Low
321,22,Low,22,614.63,0,3,0,0,0,0.35508081725256635,Medium
322,23,Low,23,476.09,0,1,0,0,0,0.05520225037812447,Low
323,64,Low,20,690.0,0,1,0,0,0,0.08640499477437469,Low
324,72,Low,26,414.66,0,2,0,0,0,0.07283253473338147,Low
325,57,Low,19,1461.72,0,2,0,0,0,0.0,Low
326,69,Low,21,921.83,0,1,0,0,0,0.2925372448290277,Medium
